1,0.064429045,,,,
2,0.052493095,,,,
3,0.039861917,,,,
4,0.028567076,,,,
5,0.04510808,,,,
6,0.038002968,,,,
7,0.043663025,,,,
8,0.043133974,,,,
9,0.038975954,,,,
10,0.040896177,,,,
11,0.031006098,,,,
12,0.033127069,,,,
13,0.029788017,,,,
14,0.034559965,,,,
15,0.030876875,,,,
16,0.034386158,,,,
17,0.032831192,,,,
18,0.035266876,,,,
19,0.032606125,,,,
20,0.036843061,,,,
21,0.035572052,,,,
22,0.037590981,,,,
23,0.038341999,,,,
24,0.038587093,,,,
25,0.040019035,,,,
26,0.042187929,,,,
27,0.040588856,,,,
28,0.041779041,,,,
29,0.043684959,,,,
30,0.044648886,,,,
31,0.044039011,,,,
32,0.045126915,,,,
33,0.045153856,,,,
34,0.044687986,,,,
35,0.045368195,,,,
36,0.046600103,,,,
37,0.047361135,,,,
38,0.049438,,,,
39,0.050097942,,,CPU,GPU
40,0.0488801,,,0.161039639,0.043424821
41,0.050813913,,,,
42,0.050989866,,,,
43,0.055935144,,,,
44,0.052846909,,,,
45,0.052015066,,,,
46,0.053352118,,,,
47,0.053384066,,,,
48,0.054741144,,,,
49,0.055155039,,,,
50,0.055830956,,,,
,0.043424821,,,,
,0.064429045,,,,
,0.028567076,,,,
,0.008187572,,,,
